RankedRetrieveRecordInteraction	2018-02-17T22:27:25.687Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	/08602/NonAVCreation_luce_it_IL_NonAVCreation_VedoIL0030001239_gen38_1	19	140
RankedRetrieveRecordInteraction	2018-02-17T22:27:51.185Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	/08602/NonAVCreation_luce_it_IL_NonAVCreation_VedoIL0030001239_gen34_1	23	140
SearchInteraction	2018-02-17T22:28:07.765Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	140
RankedRetrieveRecordInteraction	2018-02-17T22:28:12.368Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	/08602/NonAVCreation_luce_it_IL_NonAVCreation_VedoIL0030001239_gen31_1	26	140
RankedRetrieveRecordInteraction	2018-02-17T22:28:30.826Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	/08602/NonAVCreation_luce_it_IL_NonAVCreation_VedoIL0030001239_gen30_1	27	140
SearchInteraction	2018-02-17T22:28:54.181Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	140
RefreshOrPaginationInteraction	2018-02-17T22:29:12.275Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	140
RefreshOrPaginationInteraction	2018-02-17T22:29:24.566Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	140
RankedRetrieveRecordInteraction	2018-02-17T22:29:30.033Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	/08602/NonAVCreation_luce_it_IL_NonAVCreation_VedoIL0030000251_gen1_1	63	140
SearchInteraction	2018-02-17T22:29:58.939Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	140
RefreshOrPaginationInteraction	2018-02-17T22:30:08.352Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	140
RefreshOrPaginationInteraction	2018-02-17T22:30:19.756Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	140
RefreshOrPaginationInteraction	2018-02-17T22:30:28.595Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	140
RefreshOrPaginationInteraction	2018-02-17T22:30:35.826Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	140
RefreshOrPaginationInteraction	2018-02-17T22:30:50.800Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	140
RankedRetrieveRecordInteraction	2018-02-17T22:30:57.182Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	/08602/NonAVCreation_luce_it_IL_NonAVCreation_IL0010022018_gen4_1	135	140
SearchInteraction	2018-02-17T22:27:06.330Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	140
RefreshOrPaginationInteraction	2018-02-17T22:27:18.576Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	140
RankedRetrieveRecordInteraction	2018-02-17T22:27:25.687Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	/08602/NonAVCreation_luce_it_IL_NonAVCreation_VedoIL0030001239_gen38_1	19	140
RankedRetrieveRecordInteraction	2018-02-17T22:27:51.185Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	/08602/NonAVCreation_luce_it_IL_NonAVCreation_VedoIL0030001239_gen34_1	23	140
SearchInteraction	2018-02-17T22:28:07.765Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	140
RankedRetrieveRecordInteraction	2018-02-17T22:28:12.368Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	/08602/NonAVCreation_luce_it_IL_NonAVCreation_VedoIL0030001239_gen31_1	26	140
RankedRetrieveRecordInteraction	2018-02-17T22:28:30.826Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	/08602/NonAVCreation_luce_it_IL_NonAVCreation_VedoIL0030001239_gen30_1	27	140
SearchInteraction	2018-02-17T22:28:54.181Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	140
RefreshOrPaginationInteraction	2018-02-17T22:29:12.275Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	140
RefreshOrPaginationInteraction	2018-02-17T22:29:24.566Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	140
RankedRetrieveRecordInteraction	2018-02-17T22:29:30.033Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	/08602/NonAVCreation_luce_it_IL_NonAVCreation_VedoIL0030000251_gen1_1	63	140
SearchInteraction	2018-02-17T22:29:58.939Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	140
RefreshOrPaginationInteraction	2018-02-17T22:30:08.352Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	140
RefreshOrPaginationInteraction	2018-02-17T22:30:19.756Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	140
RefreshOrPaginationInteraction	2018-02-17T22:30:28.595Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	140
RefreshOrPaginationInteraction	2018-02-17T22:30:35.826Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	140
RefreshOrPaginationInteraction	2018-02-17T22:30:50.800Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	140
RankedRetrieveRecordInteraction	2018-02-17T22:30:57.182Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	/08602/NonAVCreation_luce_it_IL_NonAVCreation_IL0010022018_gen4_1	135	140
SearchInteraction	2018-02-17T22:27:06.330Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	140
RefreshOrPaginationInteraction	2018-02-17T22:27:18.576Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	140
RankedRetrieveRecordInteraction	2018-02-17T22:27:25.687Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	/08602/NonAVCreation_luce_it_IL_NonAVCreation_VedoIL0030001239_gen38_1	19	140
RankedRetrieveRecordInteraction	2018-02-17T22:27:51.185Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	/08602/NonAVCreation_luce_it_IL_NonAVCreation_VedoIL0030001239_gen34_1	23	140
SearchInteraction	2018-02-17T22:28:07.765Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	140
RankedRetrieveRecordInteraction	2018-02-17T22:28:12.368Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	/08602/NonAVCreation_luce_it_IL_NonAVCreation_VedoIL0030001239_gen31_1	26	140
RankedRetrieveRecordInteraction	2018-02-17T22:28:30.826Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	/08602/NonAVCreation_luce_it_IL_NonAVCreation_VedoIL0030001239_gen30_1	27	140
SearchInteraction	2018-02-17T22:28:54.181Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	140
RefreshOrPaginationInteraction	2018-02-17T22:29:12.275Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	140
RefreshOrPaginationInteraction	2018-02-17T22:29:24.566Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	140
RankedRetrieveRecordInteraction	2018-02-17T22:29:30.033Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	/08602/NonAVCreation_luce_it_IL_NonAVCreation_VedoIL0030000251_gen1_1	63	140
SearchInteraction	2018-02-17T22:29:58.939Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	140
RefreshOrPaginationInteraction	2018-02-17T22:30:08.352Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	140
RefreshOrPaginationInteraction	2018-02-17T22:30:19.756Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	140
RefreshOrPaginationInteraction	2018-02-17T22:30:28.595Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	140
RefreshOrPaginationInteraction	2018-02-17T22:30:35.826Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	140
RefreshOrPaginationInteraction	2018-02-17T22:30:50.800Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	140
RankedRetrieveRecordInteraction	2018-02-17T22:30:57.182Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	/08602/NonAVCreation_luce_it_IL_NonAVCreation_IL0010022018_gen4_1	135	140
SearchInteraction	2018-02-17T22:27:06.330Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	140
RefreshOrPaginationInteraction	2018-02-17T22:27:18.576Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	140
RankedRetrieveRecordInteraction	2018-02-17T22:27:25.687Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	/08602/NonAVCreation_luce_it_IL_NonAVCreation_VedoIL0030001239_gen38_1	19	140
RankedRetrieveRecordInteraction	2018-02-17T22:27:51.185Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	/08602/NonAVCreation_luce_it_IL_NonAVCreation_VedoIL0030001239_gen34_1	23	140
SearchInteraction	2018-02-17T22:28:07.765Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	140
RankedRetrieveRecordInteraction	2018-02-17T22:28:12.368Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	/08602/NonAVCreation_luce_it_IL_NonAVCreation_VedoIL0030001239_gen31_1	26	140
RankedRetrieveRecordInteraction	2018-02-17T22:28:30.826Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	/08602/NonAVCreation_luce_it_IL_NonAVCreation_VedoIL0030001239_gen30_1	27	140
SearchInteraction	2018-02-17T22:28:54.181Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	140
RefreshOrPaginationInteraction	2018-02-17T22:29:12.275Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	140
RefreshOrPaginationInteraction	2018-02-17T22:29:24.566Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	140
RankedRetrieveRecordInteraction	2018-02-17T22:29:30.033Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	/08602/NonAVCreation_luce_it_IL_NonAVCreation_VedoIL0030000251_gen1_1	63	140
SearchInteraction	2018-02-17T22:29:58.939Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	140
RefreshOrPaginationInteraction	2018-02-17T22:30:08.352Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	140
RefreshOrPaginationInteraction	2018-02-17T22:30:19.756Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	140
RefreshOrPaginationInteraction	2018-02-17T22:30:28.595Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	140
RefreshOrPaginationInteraction	2018-02-17T22:30:35.826Z	fa36850405aa7e70828c682d327fb003	Moira Orfei	{'IMAGE_ASPECTRATIO': ['Portrait'], 'MIME_TYPE': ['image/jpeg'], 'REUSABILITY': ['open', 'permission'], 'TYPE': ['IMAGE']}	140
